repo,type,pmcid,paper,include,notes
KMM-Uddin/XAI_Esophageal_Cancer,code,PMC12833109,Explainable machine learning for early diagnosis of esophageal cancer: A feature,no,tool-cite or off-topic (auto-triaged)
LARS-research/KnowDDI,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
LINIP-share/CoSpine,code,PMC12559740,CoSpine open access simultaneous cortico-spinal fMRI database of thermal pain an,no,tool-cite or off-topic (auto-triaged)
LiHaisheng-burns/tracheostomy-burn,code,PMC12070481,Deployable machine learning-based decision support system for tracheostomy in ac,no,tool-cite or off-topic (auto-triaged)
MariusFurter/myasthenia-prediction,code,PMC12904214,Multivariable Prediction Model for Suspected Ocular Myasthenia Gravis: Developme,no,tool-cite or off-topic (auto-triaged)
NishaChaudhary23/ORCHID,code,PMC11436638,High-resolution AI image dataset for diagnosing oral submucous fibrosis and squa,no,tool-cite or off-topic (auto-triaged)
NunuLee/Photodocumentation,code,PMC11806067,Evaluation of an artificial intelligence-based system for real-time high-quality,no,tool-cite or off-topic (auto-triaged)
OlivierBeq/SolpHedge,code,PMC12569554,Artificial intelligence modelling of tyrosine kinase inhibitors at risk of malab,no,tool-cite or off-topic (auto-triaged)
PJordano-Lab/MS_FRUGINT,code,PMC13022486,"A comprehensive, multi-method dataset of plant-frugivore interactions in a Medit",no,tool-cite or off-topic (auto-triaged)
PRI2MA/DL_NTCP_Dysphagia,code,PMC12520315,Deep learning NTCP model for late dysphagia after radiotherapy for head and neck,borderline,RT-NTCP dysphagia prognostic; merged as borderline
PSI-TAMU/CGMacros,code,PMC12462512,CGMacros: a pilot scientific dataset for personalized nutrition and diet monitor,no,tool-cite or off-topic (auto-triaged)
PetarV-/GAT,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
PeterChe1990/GRU-D,code,PMC12322181,Gated recurrent unit with decay has real-time capability for postoperative ileus,no,tool-cite or off-topic (auto-triaged)
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,code,PMC12970082,Speech-to-Speech Voice-Cloning Care (SVCC) for improving ICU-acquired anxiety fo,no,tool-cite or off-topic (auto-triaged)
ResearchgroupMITI/swallow-detection,code,PMC12678422,A deep learning-based approach to enhance accuracy and feasibility of long-term ,yes,IN-SCOPE swallow-detection DL; merged→envanter; not_attemptable(no weights)
Safnov/1,code,PMC13290704,Development and validation of a machine learning model for predicting stroke-ass,no,"OUT: stroke-assoc pneumonia (SAP) prediction, not dysphagia"
Shoombuatong/Dataset-Code,code,PMC12274706,A systematic review of data and models for predicting food flavor and texture.,no,tool-cite or off-topic (auto-triaged)
SoftwareImpacts/SIMPAC-2023-498,code,PMC11252296,"Predictive modelling of freeway space utilising clinical history, normalised mus",no,tool-cite or off-topic (auto-triaged)
Tan-Huaicheng/Deep-learning-for-disability,code,PMC11199641,Deep learning model for the prediction of all-cause mortality among long term ca,no,tool-cite or off-topic (auto-triaged)
Tashreque/predictive-modelling-dental-freeway-space,code,PMC11252296,"Predictive modelling of freeway space utilising clinical history, normalised mus",no,tool-cite or off-topic (auto-triaged)
UMDataScienceLab/LBMAM_perpca,code,PMC13184121,Disentangling individual heterogeneity reveals robust network and molecular sign,no,tool-cite or off-topic (auto-triaged)
VTminY/Anti-noise-TEAS,code,PMC12062307,Deep learning-enhanced anti-noise triboelectric acoustic sensor for human-machin,no,tool-cite or off-topic (auto-triaged)
WGLab/PhenoSnap,code,PMC13258711,Note-Level Phenotyping of Multiple-Sclerosis Notes by a Large Language Model Ach,no,tool-cite or off-topic (auto-triaged)
Wei-yuan0919/DRPP,code,PMC11414316,Deep radiomics-based prognostic prediction of oral cancer using optical coherenc,no,tool-cite or off-topic (auto-triaged)
XIXI1029/waveformAnalysis,code,PMC12552622,Real-time detection of respiratory circuit events in mechanical ventilation usin,no,tool-cite or off-topic (auto-triaged)
Yiii-master/EDT-MCFEF,code,PMC12213740,EDT-MCFEF: a multi-channel feature fusion model for emergency department triage ,no,tool-cite or off-topic (auto-triaged)
YijiaoFu/TMJ-disc-displacement-in-CBCT,code,PMC12886583,CBCT assisted diagnosis system for temporomandibular joint disc displacement bas,no,tool-cite or off-topic (auto-triaged)
Yunheng-Diao/Paper_Code,code,PMC13184121,Disentangling individual heterogeneity reveals robust network and molecular sign,no,tool-cite or off-topic (auto-triaged)
alirezafarzipour/MonkeyPoxDetection,code,PMC11948964,Explainable AI for Symptom-Based Detection of Monkeypox: a machine learning appr,no,tool-cite or off-topic (auto-triaged)
anotherkaizhang/MS,code,PMC10634041,Predicting multiple sclerosis severity with multimodal deep neural networks.,no,tool-cite or off-topic (auto-triaged)
aydindemircioglu/LAA,code,PMC12048584,Detecting the left atrial appendage in CT localizers using deep learning.,no,tool-cite or off-topic (auto-triaged)
bfinl/Finger-BCI-Decoding,code,PMC12209421,EEG-based brain-computer interface enables real-time robotic hand control at ind,no,tool-cite or off-topic (auto-triaged)
